	postsynaptic_ID	counts	presynaptic_ID	partner_ID	name	top_nt	super_class	cell_class
229	720575940617931026	2	720575940604650464	720575940617931026	nan	nan	nan	nan
230	720575940609581380	2	720575940604650464	720575940609581380	Mi13	gaba	optic	ME
231	720575940641534349	2	720575940604650464	720575940641534349	Tm2	acetylcholine	optic	ME>LO
232	720575940628343685	2	720575940604650464	720575940628343685	L2	acetylcholine	optic	LA>ME
233	720575940539038800	2	720575940604650464	720575940539038800	nan	nan	nan	nan
234	720575940536553834	2	720575940604650464	720575940536553834	nan	nan	nan	nan
235	720575940500126151	2	720575940604650464	720575940500126151	nan	nan	nan	nan
236	720575940622605044	2	720575940604650464	720575940622605044	T1	acetylcholine	optic	ME>LA
237	720575940632226319	2	720575940604650464	720575940632226319	nan	nan	nan	nan
238	720575940642545115	2	720575940604650464	720575940642545115	Dm18	gaba	optic	ME
239	720575940576951764	2	720575940604650464	720575940576951764	nan	nan	nan	nan
240	720575940602804564	2	720575940604650464	720575940602804564	nan	nan	nan	nan
241	720575940500144071	1	720575940604650464	720575940500144071	nan	nan	nan	nan
242	720575940481736186	1	720575940604650464	720575940481736186	nan	nan	nan	nan
243	720575940500114887	1	720575940604650464	720575940500114887	nan	nan	nan	nan
244	720575940632100683	1	720575940604650464	720575940632100683	CB3854	gaba	optic	ME
245	720575940500130503	1	720575940604650464	720575940500130503	nan	nan	nan	nan
246	720575940500134343	1	720575940604650464	720575940500134343	nan	nan	nan	nan
247	720575940543604808	1	720575940604650464	720575940543604808	nan	nan	nan	nan
248	720575940536553578	1	720575940604650464	720575940536553578	nan	nan	nan	nan
249	720575940543603016	1	720575940604650464	720575940543603016	nan	nan	nan	nan
250	720575940509970384	1	720575940604650464	720575940509970384	nan	nan	nan	nan
251	720575940536567914	1	720575940604650464	720575940536567914	nan	nan	nan	nan
252	720575940481732090	1	720575940604650464	720575940481732090	nan	nan	nan	nan
253	720575940622897432	1	720575940604650464	720575940622897432	Lawf1	acetylcholine	optic	ME>LA
254	720575940630491899	1	720575940604650464	720575940630491899	Tm3	acetylcholine	optic	ME>LO
255	720575940640304718	1	720575940604650464	720575940640304718	Dm10	gaba	optic	ME
256	720575940602801492	1	720575940604650464	720575940602801492	nan	nan	nan	nan
257	720575940602803540	1	720575940604650464	720575940602803540	nan	nan	nan	nan
258	720575940445611730	1	720575940604650464	720575940445611730	nan	nan	nan	nan
259	720575940445612754	1	720575940604650464	720575940445612754	nan	nan	nan	nan
260	720575940509975504	1	720575940604650464	720575940509975504	nan	nan	nan	nan
261	720575940633131731	1	720575940604650464	720575940633131731	Tm5_b	acetylcholine	optic	ME>LO
